Age,Gender,Income (AED),Employment Status,Location in Dubai,Skincare Purchase Frequency,Average Monthly Spend (AED),Skincare Products Used,Purchase Influencers,Skin Concerns,Follow Influencer Recommendations,Trusted Influencer Tier,Preferred Platform,Persuasive Ad Format,Browse Time,Purchased After Influencer Promotion,Max Willingness to Spend (AED),Willingness to Try New Brand,Purchase Discouragement Factors,Number of Skincare Influencers Followed,Interest in Curated Skincare Box,Willing to Pay Premium,One Platform for Shopping Inspiration,Influencer Marketing Trust Score (1–5),Favorite Influencer or Brand
33,Female,"Below 5,000",Student,Other,Weekly,68,"Face Masks, Anti-aging Products","Social Media Influencers, Brand","Acne, Oily Skin",Often,Macro,Facebook,Story,Afternoon,Yes,226,Neutral,"Too Many Promotions, Lack of Trust, Price Too High",11–20,Yes,Depends on brand & value,TikTok,3,Jeremy Beauty
28,Male,"10,000–20,000",Working Professional,Bur Dubai,Monthly,61,"Face Masks, Serums, Anti-aging Products","Friends & Family, Dermatologist Recommendations, Packaging","Acne, Oily Skin, Dryness, Wrinkles",Sometimes,Mega,Instagram,Short Reels,Evening,Yes,193,Likely,"Too Many Promotions, Lack of Trust",1–5,Maybe,Yes,Instagram,3,Denise Beauty
35,Male,"10,000–20,000",Working Professional,Bur Dubai,Weekly,151,"Face Masks, Moisturizers","Social Media Influencers, Price","Wrinkles, Uneven Tone, Oily Skin, Dark Spots",Often,Micro,Facebook,Short Reels,Afternoon,No,273,Likely,"Price Too High, Too Many Promotions",11–20,No,No,TikTok,4,Jonathan Beauty
42,Male,"35,000 and above",Working Professional,Dubai Marina,Monthly,172,"Sunscreens, Moisturizers, Cleansers, Serums","Product Reviews, Dermatologist Recommendations, Price","Oily Skin, Uneven Tone",Sometimes,Macro,Instagram,Short Reels,Evening,Yes,350,Very Unlikely,"No Visible Results, Not Suitable for My Skin, Price Too High",11–20,No,Yes,TikTok,2,Rachel Beauty
28,Female,"10,000–20,000",Student,Dubai Marina,Quarterly,53,"Serums, Cleansers","Product Reviews, Friends & Family","Wrinkles, Dark Spots, Acne, Uneven Tone",Rarely,Macro,Instagram,Story,Evening,No,109,Neutral,Too Many Promotions,None,No,Yes,Instagram,3,William Beauty
28,Female,"10,000–20,000",Unemployed,Jumeirah,Quarterly,325,"Moisturizers, Face Masks, Serums, Anti-aging Products","Brand, Price, Packaging","Dark Spots, Acne, Uneven Tone, Wrinkles",Rarely,Micro,TikTok,Story,Evening,Yes,258,Neutral,Too Many Promotions,6–10,Maybe,Yes,TikTok,5,Caitlin Beauty
42,Female,"5,000–10,000",Homemaker,Downtown,Quarterly,55,"Sunscreens, Anti-aging Products","Dermatologist Recommendations, Friends & Family, Packaging",Dryness,Often,Micro,TikTok,Full-Length Video,Afternoon,No,237,Very Unlikely,"Too Many Promotions, Lack of Trust, Not Suitable for My Skin",1–5,Yes,No,Instagram,2,Rachel Beauty
36,Male,"5,000–10,000",Unemployed,Downtown,Monthly,127,"Anti-aging Products, Moisturizers, Cleansers, Sunscreens","Social Media Influencers, Dermatologist Recommendations",Dryness,Always,None,TikTok,Story,Afternoon,No,300,Likely,"Not Suitable for My Skin, Too Many Promotions",6–10,Yes,Depends on brand & value,Instagram,3,Jim Beauty
26,Male,"20,000–35,000",Working Professional,Other,Monthly,173,"Anti-aging Products, Sunscreens","Price, Dermatologist Recommendations","Uneven Tone, Acne",Sometimes,Macro,Instagram,Short Reels,Late Night,No,265,Likely,"Too Many Promotions, No Visible Results",11–20,Yes,Depends on brand & value,TikTok,5,Brittany Beauty
34,Male,"10,000–20,000",Working Professional,Dubai Marina,Monthly,254,"Cleansers, Sunscreens, Face Masks","Price, Brand",Uneven Tone,Sometimes,Mega,Instagram,Short Reels,Evening,Yes,193,Very Likely,Too Many Promotions,1–5,Yes,No,Instagram,3,Timothy Beauty
